
2024/08/12 (16:30:17) | ===> btop++ v.1.3.2
2024/08/12 (16:30:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:31:29) | ===> btop++ v.1.3.2
2024/08/12 (16:31:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:32:41) | ===> btop++ v.1.3.2
2024/08/12 (16:32:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:33:18) | ===> btop++ v.1.3.2
2024/08/12 (16:33:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:34:48) | ===> btop++ v.1.3.2
2024/08/12 (16:34:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:35:17) | ===> btop++ v.1.3.2
2024/08/12 (16:35:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:36:17) | ===> btop++ v.1.3.2
2024/08/12 (16:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:37:04) | ===> btop++ v.1.3.2
2024/08/12 (16:37:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/12 (16:40:07) | ===> btop++ v.1.3.2
2024/08/12 (16:40:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
